,Name,Author,User Rating,Reviews,Price,Year,Genre,Genre_bin,tokens
0,10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,0,"['10-day', 'green', 'smoothie', 'cleanse']"
1,11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,1,"['11/22/63', 'novel']"
2,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction,0,"['12', 'rules', 'life', 'antidote', 'chaos']"
3,1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,1,"['1984', 'signet', 'classics']"
4,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,0,"['5,000', 'awesome', 'facts', 'everything', 'national', 'geographic', 'kids']"
5,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction,1,"['dance', 'dragons', 'song', 'ice', 'fire']"
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction,1,"['game', 'thrones', 'clash', 'kings', 'storm', 'swords', 'feast', 'crows', 'dance', 'dragons']"
7,A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,1,"['gentleman', 'moscow', 'novel']"
8,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,0,"['higher', 'loyalty', 'truth', 'lies', 'leadership']"
9,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,1,"['man', 'called', 'ove', 'novel']"
10,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,0,"['patriot', ""'s"", 'history', 'united', 'states', 'columbus', ""'s"", 'great', 'discovery', 'war', 'terror']"
11,A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,0,"['stolen', 'life', 'memoir']"
12,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction,1,"['wrinkle', 'time', 'time', 'quintet']"
13,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,2009,Non Fiction,0,"['act', 'like', 'lady', 'think', 'like', 'man', 'men', 'really', 'think', 'love', 'relationships', 'intimacy', 'commitment']"
14,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,Non Fiction,0,"['adult', 'coloring', 'book', 'designs', 'stress', 'relief', 'coloring', 'book', 'garden', 'designs', 'mandalas', 'animals', 'paisley', 'patterns']"
15,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction,0,"['adult', 'coloring', 'book', 'stress', 'relieving', 'animal', 'designs']"
16,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction,0,"['adult', 'coloring', 'book', 'stress', 'relieving', 'patterns']"
17,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8,2015,Non Fiction,0,"['adult', 'coloring', 'books', 'coloring', 'book', 'adults', 'featuring', 'mandalas', 'henna', 'inspired', 'flowers', 'animals', 'paisley…']"
18,Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,0,"['alexander', 'hamilton']"
19,All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction,1,"['light', 'see']"
20,Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction,1,['allegiant']
21,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction,0,"['american', 'sniper', 'autobiography', 'lethal', 'sniper', 'u.s.', 'military', 'history']"
22,And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction,1,"['mountains', 'echoed']"
23,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,Non Fiction,0,"['arguing', 'idiots', 'stop', 'small', 'minds', 'big', 'government']"
24,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction,0,"['astrophysics', 'people', 'hurry']"
25,"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Non Fiction,0,"['autobiography', 'mark', 'twain', 'vol', '1']"
26,Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction,0,"['baby', 'touch', 'feel', 'animals']"
27,Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Non Fiction,0,"['balance', 'angie', ""'s"", 'extreme', 'stress', 'menders']"
28,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction,0,"['barefoot', 'contessa', 'foolproof', 'recipes', 'trust', 'cookbook']"
29,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,Non Fiction,0,"['barefoot', 'contessa', 'easy', 'fabulous', 'recipes', 'easy', 'tips']"
30,Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction,0,['becoming']
31,Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Non Fiction,0,"['mortal', 'medicine', 'matters', 'end']"
32,Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction,0,['world']
33,Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,0,"['born', 'run']"
34,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,Fiction,1,"['breaking', 'dawn', 'twilight', 'saga', 'book', '4']"
35,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,Non Fiction,0,"['broke', 'plan', 'restore', 'trust', 'truth', 'treasure']"
36,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction,1,"['brown', 'bear', 'brown', 'bear', 'see']"
37,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction,1,"['cabin', 'fever', 'diary', 'wimpy', 'kid', 'book', '6']"
38,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction,0,"['calm', 'f*ck', 'irreverent', 'adult', 'coloring', 'book', 'irreverent', 'book', 'series']"
39,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction,0,"['ca', ""n't"", 'hurt', 'master', 'mind', 'defy', 'odds']"
40,Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction,0,"['capital', 'twenty', 'first', 'century']"
41,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction,1,"['catching', 'fire', 'hunger', 'games']"
42,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction,0,"['cravings', 'recipes', 'food', 'want', 'eat', 'cookbook']"
43,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,0,"['crazy', 'love', 'overwhelmed', 'relentless', 'god']"
44,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction,1,"['crazy', 'rich', 'asians', 'crazy', 'rich', 'asians', 'trilogy']"
45,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction,0,"['creative', 'creative', 'cats', 'coloring', 'book', 'adult', 'coloring']"
46,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction,0,"['creative', 'owls', 'coloring', 'book', 'adult', 'coloring']"
47,Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction,1,"['cutting', 'stone']"
48,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,Non Fiction,0,"['daring', 'greatly', 'courage', 'vulnerable', 'transforms', 'way', 'live', 'love', 'parent', 'lead']"
49,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Non Fiction,0,"['david', 'goliath', 'underdogs', 'misfits', 'art', 'battling', 'giants']"
50,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,Fiction,1,"['dead', 'gone', 'sookie', 'stackhouse', 'novel', 'sookie', 'stackhouse/true', 'blood']"
51,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fiction,1,"['dead', 'family', 'sookie', 'stackhouse/true', 'blood', 'book', '10']"
52,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction,1,"['dead', 'reckoning', 'sookie', 'stackhouse/true', 'blood', 'book', '11']"
53,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction,1,"['dear', 'zoo', 'lift-the-flap', 'book']"
54,Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction,0,"['decision', 'points']"
55,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction,0,"['delivering', 'happiness', 'path', 'profits', 'passion', 'purpose']"
56,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Non Fiction,0,"['diagnostic', 'statistical', 'manual', 'mental', 'disorders', '5th', 'edition', 'dsm-5']"
57,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,1,"['diary', 'wimpy', 'kid', 'hard', 'luck', 'book', '8']"
58,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction,1,"['diary', 'wimpy', 'kid', 'last', 'straw', 'book', '3']"
59,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,1,"['diary', 'wimpy', 'kid', 'long', 'haul']"
60,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction,0,"['difficult', 'riddles', 'smart', 'kids', '300', 'difficult', 'riddles', 'brain', 'teasers', 'families', 'love', 'books', 'smart', 'kids']"
61,Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,1,['divergent']
62,Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,1,"['divergent', 'insurgent']"
63,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,Non Fiction,0,"['divine', 'soul', 'mind', 'body', 'healing', 'transmission', 'system', 'divine', 'way', 'heal', 'humanity', 'mother', 'earth', 'all…']"
64,Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,1,"['doctor', 'sleep', 'novel']"
65,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Fiction,1,"['dog', 'days', 'diary', 'wimpy', 'kid', 'book', '4', 'volume', '4']"
66,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Fiction,1,"['dog', 'man', 'cat', 'kid', 'creator', 'captain', 'underpants', 'dog', 'man', '4']"
67,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction,1,"['dog', 'man', 'tale', 'two', 'kitties', 'creator', 'captain', 'underpants', 'dog', 'man', '3']"
68,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction,1,"['dog', 'man', 'brawl', 'wild', 'creator', 'captain', 'underpants', 'dog', 'man', '6']"
69,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction,1,"['dog', 'man', 'fetch-22', 'creator', 'captain', 'underpants', 'dog', 'man', '8']"
70,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction,1,"['dog', 'man', 'ball', 'rolls', 'creator', 'captain', 'underpants', 'dog', 'man', '7']"
71,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Fiction,1,"['dog', 'man', 'lord', 'fleas', 'creator', 'captain', 'underpants', 'dog', 'man', '5']"
72,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,1,"['double', 'diary', 'wimpy', 'kid', '11']"
73,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Non Fiction,0,"['dover', 'creative', 'art', 'nouveau', 'animal', 'designs', 'coloring', 'book', 'creative', 'coloring', 'books']"
74,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction,0,"['drive', 'surprising', 'truth', 'motivates', 'us']"
75,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,Non Fiction,0,"['eat', 'supermarket', 'survival', 'guide', 'no-diet', 'weight', 'loss', 'solution']"
76,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,Non Fiction,0,"['eat', 'thousands', 'simple', 'food', 'swaps', 'save', '10', '20', '30', 'pounds', '--']"
77,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Non Fiction,0,"['eat', 'live', 'amazing', 'nutrient-rich', 'program', 'fast', 'sustained', 'weight', 'loss', 'revised', 'edition']"
78,Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fiction,1,"['eclipse', 'twilight', 'sagas']"
79,Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fiction,1,"['eclipse', 'twilight']"
80,Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,0,"['educated', 'memoir']"
81,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,Non Fiction,0,"['enchanted', 'forest', 'inky', 'quest', 'coloring', 'book', 'activity', 'books', 'mindfulness', 'meditation', 'illustrated', 'floral', 'prints…']"
82,Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Fiction,1,"['fahrenheit', '451']"
83,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction,1,"['fantastic', 'beasts', 'find', 'original', 'screenplay', 'harry', 'potter']"
84,Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Non Fiction,0,"['fear', 'trump', 'white', 'house']"
85,Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction,1,"['fifty', 'shades', 'darker']"
86,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction,1,"['fifty', 'shades', 'freed', 'book', 'three', 'fifty', 'shades', 'trilogy', 'fifty', 'shades', 'grey', 'series', 'english', 'edition']"
87,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction,1,"['fifty', 'shades', 'grey', 'book', 'one', 'fifty', 'shades', 'trilogy', 'fifty', 'shades', 'grey', 'series']"
88,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction,1,"['fifty', 'shades', 'trilogy', 'fifty', 'shades', 'grey', 'fifty', 'shades', 'darker', 'fifty', 'shades', 'freed']"
89,Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,Non Fiction,0,"['fire', 'fury', 'inside', 'trump', 'white', 'house']"
90,First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction,0,"['first', '100', 'words']"
91,Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction,0,"['food', 'rules', 'eater', ""'s"", 'manual']"
92,Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction,1,"['frozen', 'little', 'golden', 'book']"
93,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction,0,"['game', 'change', 'obama', 'clintons', 'mccain', 'palin', 'race', 'lifetime']"
94,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction,1,"['game', 'thrones', 'boxed', 'set', 'game', 'thrones/a', 'clash', 'kings/a', 'storm', 'swords/a', 'feast', 'crows']"
95,George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction,0,"['george', 'washington', ""'s"", 'sacred', 'fire']"
96,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction,0,"['george', 'washington', ""'s"", 'secret', 'six', 'spy', 'ring', 'saved', 'american', 'revolution']"
97,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Fiction,1,"['giraffes', 'ca', ""n't"", 'dance']"
98,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Non Fiction,0,"['girl', 'stop', 'apologizing', 'shame-free', 'plan', 'embracing', 'achieving', 'goals']"
99,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Non Fiction,0,"['girl', 'wash', 'face', 'stop', 'believing', 'lies', 'become', 'meant']"
100,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,2009,Non Fiction,0,"['glenn', 'beck', ""'s"", 'common', 'sense', 'case', 'out-of-control', 'government', 'inspired', 'thomas', 'paine']"
101,Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction,1,"['go', 'set', 'watchman', 'novel']"
102,Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,Fiction,1,"['go', 'f**k', 'sleep']"
103,Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,Non Fiction,0,"['going', 'rogue', 'american', 'life']"
104,Gone Girl,Gillian Flynn,4.0,57271,9,2014,Fiction,1,"['gone', 'girl']"
105,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction,0,"['good', 'days', 'start', 'gratitude', '52', 'week', 'guide', 'cultivate', 'attitude', 'gratitude', 'gratitude', 'journal']"
106,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction,0,"['good', 'great', 'companies', 'make', 'leap', 'others', ""n't""]"
107,Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Fiction,1,"['goodnight', 'moon']"
108,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction,1,"['goodnight', 'goodnight', 'construction', 'site', 'hardcover', 'books', 'toddlers', 'preschool', 'books', 'kids']"
109,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Non Fiction,0,"['grain', 'brain', 'surprising', 'truth', 'wheat', 'carbs', 'sugar', '--', 'brain', ""'s"", 'silent', 'killers']"
110,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction,1,"['grey', 'fifty', 'shades', 'grey', 'told', 'christian', 'fifty', 'shades', 'grey', 'series']"
111,Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction,0,['guts']
